"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed"
"1","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,1,"magnitude",6,NA,NA,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,125361
"2","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,2,"magnitude",2,NA,NA,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,128362
"3","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,3,"magnitude",1,NA,NA,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,131364
"4","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,4,"magnitude",8,NA,NA,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,134377
"5","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,5,"magnitude",9,NA,NA,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,137380
"6","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,6,"magnitude",4,NA,NA,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,140381
"7","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,7,"magnitude",8,NA,NA,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,143383
"8","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,8,"magnitude",3,NA,NA,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,146386
"9","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,9,"magnitude",7,69,1858.00000000745,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,148752
"10","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,10,"magnitude",4,73,150.999999605119,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,149403
"11","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,11,"magnitude",6,69,48.9999996498227,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,149954
"12","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,12,"magnitude",9,73,75.9999994188547,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,150532
"13","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,13,"magnitude",1,69,127.999999560416,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,151164
"14","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,14,"parity",9,73,2.00000032782555,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,151666
"15","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,15,"parity",7,69,111.000000499189,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,152281
"16","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck1",NA,NA,NA,NA,16,"magnitude",1,73,106.999999843538,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,152888
"17","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,1,"parity",6,69,178.999999538064,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,155079
"18","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,2,"magnitude",9,73,42.0000003650784,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,155622
"19","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,3,"parity",1,69,65.0000004097819,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,156190
"20","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,4,"magnitude",7,73,35.0000001490116,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,156727
"21","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,5,"parity",4,69,60.9999997541308,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,157290
"22","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,6,"magnitude",4,73,334.999999962747,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,158126
"23","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,7,"magnitude",9,69,165.000000037253,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,158791
"24","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,8,"magnitude",1,73,99.0000003948808,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,159394
"25","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,9,"magnitude",3,69,143.999999389052,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,160039
"26","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,10,"magnitude",9,73,227.999999187887,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,160770
"27","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,11,"parity",1,69,206.000000238419,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,161478
"28","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,12,"magnitude",3,73,101.999999955297,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,162101
"29","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,13,"magnitude",2,69,80.0000000745058,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,162681
"30","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,14,"parity",6,73,47.0000002533197,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,163231
"31","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,15,"parity",8,69,49.9999998137355,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,163782
"32","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck2",NA,NA,NA,NA,16,"parity",4,69,20.9999997168779,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,164304
"33","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck3",NA,NA,NA,NA,1,"parity",7,69,225.999999791384,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,166388
"34","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck3",NA,NA,NA,NA,2,"magnitude",8,73,189.999999478459,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,167079
"35","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck3",NA,NA,NA,NA,3,"parity",3,69,52.000000141561,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,167633
"36","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck3",NA,NA,NA,NA,4,"magnitude",6,73,114.999999292195,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,168253
"37","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck3",NA,NA,NA,NA,5,"parity",7,69,101.999999955297,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,168857
"38","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck3",NA,NA,NA,NA,6,"magnitude",6,73,109.999999403954,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,169475
"39","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck3",NA,NA,NA,NA,7,"parity",4,69,19.9999995529652,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,169998
"40","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck3",NA,NA,NA,NA,8,"magnitude",6,73,87.0000002905726,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,170587
"41","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck3",NA,NA,NA,NA,9,"parity",6,69,52.000000141561,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,171140
"42","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck3",NA,NA,NA,NA,10,"magnitude",2,69,25.000000372529,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,171668
"43","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck3",NA,NA,NA,NA,11,"magnitude",4,73,203.000000678003,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,172373
"44","stEWyhLkwMXOCpY",30,"MALE","learning",0,"deck3",NA,NA,NA,NA,12,"parity",8,69,135.999999940395,30,"MALE","GOOD","TIME","LONG",7,9,9,9,9,9,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,173013
