"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed"
"1","54r6D3cEe9knRI2",60,"MALE","learning",0,"deck1",NA,NA,NA,NA,1,"parity",4,69,2403.99999998044,"GOOD","LIKE","NICE","BRDT","N/A",7,6,7,6,5,7,3,2,3,4,3,4,3,4,3,3,3,4,3,2,2,3,4,3,3,2,3,4,3,2,3,4,2,3,2,3,4,2,3,2,3,4,3,3,2,1,2,3,3,4,3,172619
"2","54r6D3cEe9knRI2",60,"MALE","learning",0,"deck1",NA,NA,NA,NA,2,"parity",1,73,144.000000087544,"GOOD","LIKE","NICE","BRDT","N/A",7,6,7,6,5,7,3,2,3,4,3,4,3,4,3,3,3,4,3,2,2,3,4,3,3,2,3,4,3,2,3,4,2,3,2,3,4,2,3,2,3,4,3,3,2,1,2,3,3,4,3,173307
"3","54r6D3cEe9knRI2",60,"MALE","learning",0,"deck1",NA,NA,NA,NA,3,"parity",2,73,131.999999983236,"GOOD","LIKE","NICE","BRDT","N/A",7,6,7,6,5,7,3,2,3,4,3,4,3,4,3,3,3,4,3,2,2,3,4,3,3,2,3,4,3,2,3,4,2,3,2,3,4,2,3,2,3,4,3,3,2,1,2,3,3,4,3,173947
"4","54r6D3cEe9knRI2",60,"MALE","learning",0,"deck1",NA,NA,NA,NA,4,"parity",6,73,62.0000000344589,"GOOD","LIKE","NICE","BRDT","N/A",7,6,7,6,5,7,3,2,3,4,3,4,3,4,3,3,3,4,3,2,2,3,4,3,3,2,3,4,3,2,3,4,2,3,2,3,4,2,3,2,3,4,3,3,2,1,2,3,3,4,3,174510
"5","54r6D3cEe9knRI2",60,"MALE","learning",0,"deck1",NA,NA,NA,NA,5,"parity",6,73,89.0000000363216,"GOOD","LIKE","NICE","BRDT","N/A",7,6,7,6,5,7,3,2,3,4,3,4,3,4,3,3,3,4,3,2,2,3,4,3,3,2,3,4,3,2,3,4,2,3,2,3,4,2,3,2,3,4,3,3,2,1,2,3,3,4,3,175105
"6","54r6D3cEe9knRI2",60,"MALE","learning",0,"deck1",NA,NA,NA,NA,6,"parity",6,73,36.0000000800937,"GOOD","LIKE","NICE","BRDT","N/A",7,6,7,6,5,7,3,2,3,4,3,4,3,4,3,3,3,4,3,2,2,3,4,3,3,2,3,4,3,2,3,4,2,3,2,3,4,2,3,2,3,4,3,3,2,1,2,3,3,4,3,175642
"7","54r6D3cEe9knRI2",60,"MALE","learning",0,"deck1",NA,NA,NA,NA,7,"magnitude",3,73,77.0000000484288,"GOOD","LIKE","NICE","BRDT","N/A",7,6,7,6,5,7,3,2,3,4,3,4,3,4,3,3,3,4,3,2,2,3,4,3,3,2,3,4,3,2,3,4,2,3,2,3,4,2,3,2,3,4,3,3,2,1,2,3,3,4,3,176220
"8","54r6D3cEe9knRI2",60,"MALE","learning",0,"deck1",NA,NA,NA,NA,8,"magnitude",6,73,35.9999999636784,"GOOD","LIKE","NICE","BRDT","N/A",7,6,7,6,5,7,3,2,3,4,3,4,3,4,3,3,3,4,3,2,2,3,4,3,3,2,3,4,3,2,3,4,2,3,2,3,4,2,3,2,3,4,3,3,2,1,2,3,3,4,3,176775
"9","54r6D3cEe9knRI2",60,"MALE","learning",0,"deck1",NA,NA,NA,NA,9,"parity",3,73,48.9999999990687,"GOOD","LIKE","NICE","BRDT","N/A",7,6,7,6,5,7,3,2,3,4,3,4,3,4,3,3,3,4,3,2,2,3,4,3,3,2,3,4,3,2,3,4,2,3,2,3,4,2,3,2,3,4,3,3,2,1,2,3,3,4,3,177332
"10","54r6D3cEe9knRI2",60,"MALE","learning",0,"deck1",NA,NA,NA,NA,10,"parity",2,73,73.9999999059364,"GOOD","LIKE","NICE","BRDT","N/A",7,6,7,6,5,7,3,2,3,4,3,4,3,4,3,3,3,4,3,2,2,3,4,3,3,2,3,4,3,2,3,4,2,3,2,3,4,2,3,2,3,4,3,3,2,1,2,3,3,4,3,177918
