"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed"
"1","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,1,"magnitude",8,73,954.344999976456,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,264965
"2","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,2,"magnitude",4,73,778.915000148118,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,266245
"3","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,3,"magnitude",2,73,1104.65999995358,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,267853
"4","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,4,"magnitude",3,69,642.364999977872,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,268997
"5","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,5,"magnitude",9,73,715.070000151172,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,270213
"6","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,6,"magnitude",7,73,981.080000055954,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,271695
"7","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,7,"magnitude",3,69,657.924999948591,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,272854
"8","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,8,"magnitude",9,73,553.65000013262,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,273909
"9","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,9,"magnitude",3,69,811.385000124574,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,275221
"10","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,10,"magnitude",7,73,571.464999811724,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,276293
"11","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,11,"magnitude",9,73,818.620000034571,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,277613
"12","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,12,"parity",6,69,1274.49999982491,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,279389
"13","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,13,"parity",4,69,665.895000100136,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,280557
"14","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,14,"parity",1,73,1395.78000013717,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,282454
"15","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,15,"parity",3,73,683.584999991581,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,283638
"16","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck1",NA,NA,NA,NA,16,"magnitude",8,69,1609.88000012003,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,285750
"17","VpweAbZg6vUGYhN",44,"Male","learning",0,"deck2",NA,NA,NA,NA,1,"parity",2,69,1147.53000019118,"yes","at least to some extent","I prefereed those that advanced the bar consistently","some advanced or decreased the progress bar randomly","yes",9,9,6,3,3,3,2,3,0,2,1,4,0,2,2,4,3,0,2,4,2,2,0,4,1,2,2,3,3,3,3,4,1,4,3,0,0,0,1,0,2,2,3,1,2,0,1,1,0,3,0,289535
