"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed"
"1","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,1,"magnitude",6,73,1004.00000007357,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,399548
"2","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,2,"magnitude",8,73,1779.99999991152,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,401834
"3","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,3,"magnitude",9,69,1135.00000000931,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,403471
"4","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,4,"magnitude",3,69,902.000000001863,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,404874
"5","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,5,"parity",6,73,1212.00000005774,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,406588
"6","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,6,"parity",8,69,817.999999970198,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,407908
"7","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,7,"parity",9,73,938.999999896623,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,409393
"8","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,8,"parity",3,73,1260.00000000931,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,411153
"9","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,9,"parity",9,73,967.999999993481,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,412623
"10","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,10,"parity",8,NA,NA,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,415624
"11","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,11,"parity",9,73,1025.99999995437,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,417152
"12","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,12,"parity",4,69,934.000000008382,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,418587
"13","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,13,"parity",6,69,1018.00000004005,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,420106
"14","sgnOUebLkjlHtzc",41,"male","learning",0,"deck1",NA,NA,NA,NA,14,"parity",2,69,778.999999980442,"yes","yes","no tricks ","no","no",7,6,8,7,8,9,3,4,3,2,3,4,3,4,3,2,3,4,3,2,3,4,2,1,3,2,3,4,2,1,2,1,3,2,3,2,3,1,3,2,3,1,2,1,3,2,3,4,3,2,1,421387
