"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed"
"1","tlkMHRT2OsuXhdG",26,"Female","learning",0,"deck1",NA,NA,NA,NA,1,"parity",8,NA,NA,"this is a mind game","color","nothing","nothing","nothing",8,9,8,9,8,9,2,3,4,2,4,3,4,3,4,2,4,2,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,3,4,3,4,2,4,2,4,4,3,4,3,268307
"2","tlkMHRT2OsuXhdG",26,"Female","learning",0,"deck1",NA,NA,NA,NA,2,"parity",6,73,2313.00000008196,"this is a mind game","color","nothing","nothing","nothing",8,9,8,9,8,9,2,3,4,2,4,3,4,3,4,2,4,2,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,3,4,3,4,2,4,2,4,4,3,4,3,271154
"3","tlkMHRT2OsuXhdG",26,"Female","learning",0,"deck1",NA,NA,NA,NA,3,"magnitude",4,73,1168.99999976158,"this is a mind game","color","nothing","nothing","nothing",8,9,8,9,8,9,2,3,4,2,4,3,4,3,4,2,4,2,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,3,4,3,4,2,4,2,4,4,3,4,3,272824
"4","tlkMHRT2OsuXhdG",26,"Female","learning",0,"deck1",NA,NA,NA,NA,4,"magnitude",4,73,1875,"this is a mind game","color","nothing","nothing","nothing",8,9,8,9,8,9,2,3,4,2,4,3,4,3,4,2,4,2,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,3,4,3,4,2,4,2,4,4,3,4,3,275204
"5","tlkMHRT2OsuXhdG",26,"Female","learning",0,"deck1",NA,NA,NA,NA,5,"magnitude",6,73,1086.99999982491,"this is a mind game","color","nothing","nothing","nothing",8,9,8,9,8,9,2,3,4,2,4,3,4,3,4,2,4,2,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,3,4,3,4,2,4,2,4,4,3,4,3,276794
"6","tlkMHRT2OsuXhdG",26,"Female","learning",0,"deck1",NA,NA,NA,NA,6,"parity",8,69,1994.9999996461,"this is a mind game","color","nothing","nothing","nothing",8,9,8,9,8,9,2,3,4,2,4,3,4,3,4,2,4,2,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,3,4,3,4,2,4,2,4,4,3,4,3,279290
"7","tlkMHRT2OsuXhdG",26,"Female","learning",0,"deck1",NA,NA,NA,NA,7,"parity",8,69,1420.00000039116,"this is a mind game","color","nothing","nothing","nothing",8,9,8,9,8,9,2,3,4,2,4,3,4,3,4,2,4,2,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,3,4,3,4,2,4,2,4,4,3,4,3,281214
"8","tlkMHRT2OsuXhdG",26,"Female","learning",0,"deck1",NA,NA,NA,NA,8,"parity",2,69,1569.99999983236,"this is a mind game","color","nothing","nothing","nothing",8,9,8,9,8,9,2,3,4,2,4,3,4,3,4,2,4,2,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,3,4,3,4,2,4,2,4,4,3,4,3,283289
"9","tlkMHRT2OsuXhdG",26,"Female","learning",0,"deck1",NA,NA,NA,NA,9,"parity",7,69,1030.99999995902,"this is a mind game","color","nothing","nothing","nothing",8,9,8,9,8,9,2,3,4,2,4,3,4,3,4,2,4,2,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,3,4,3,4,2,4,2,4,4,3,4,3,284824
"10","tlkMHRT2OsuXhdG",26,"Female","learning",0,"deck1",NA,NA,NA,NA,10,"parity",4,73,2009.00000007823,"this is a mind game","color","nothing","nothing","nothing",8,9,8,9,8,9,2,3,4,2,4,3,4,3,4,2,4,2,4,3,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,2,4,3,4,3,4,2,4,2,4,4,3,4,3,287334
