"","id","age","gender","run","decisionnum","deckl","deckr","decision_type","deckchoice","deckrt","subtrial","task","probe","switchresp","switchrt","understood","mapping","preference","notice","difficulty","tlx_deck1","tlx_deck2","tlx_deck3","tlx_deck4","tlx_deck5","tlx_deck6","nfc1","nfc2","nfc3","nfc4","nfc5","nfc6","nfc7","nfc8","nfc9","nfc10","nfc11","nfc12","nfc13","nfc14","nfc15","nfc16","nfc17","nfc18","uncertainty1","uncertainty2","uncertainty3","uncertainty4","uncertainty5","uncertainty6","uncertainty7","uncertainty8","uncertainty9","uncertainty10","uncertainty11","uncertainty12","uncertainty13","uncertainty14","uncertainty15","uncertainty16","uncertainty17","uncertainty18","uncertainty19","uncertainty20","uncertainty21","uncertainty22","uncertainty23","uncertainty24","uncertainty25","uncertainty26","uncertainty27","time_elapsed","IP"
"99841","xhlWAPGu3aXE","33","FEMALE","learning",0,"deck1",NA,NA,NA,NA,1,"magnitude",9,NA,NA,"YES","YES","NO","NO","NO",7,7,5,6,6,6,3,3,1,3,2,3,2,3,2,3,3,1,2,1,1,3,1,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,485564,NA
"99842","xhlWAPGu3aXE","33","FEMALE","learning",0,"deck1",NA,NA,NA,NA,2,"magnitude",1,73,1902.99999993294,"YES","YES","NO","NO","NO",7,7,5,6,6,6,3,3,1,3,2,3,2,3,2,3,3,1,2,1,1,3,1,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,488101,NA
"99843","xhlWAPGu3aXE","33","FEMALE","learning",0,"deck1",NA,NA,NA,NA,3,"magnitude",8,73,2140.99999982864,"YES","YES","NO","NO","NO",7,7,5,6,6,6,3,3,1,3,2,3,2,3,2,3,3,1,2,1,1,3,1,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,490977,NA
"99844","xhlWAPGu3aXE","33","FEMALE","learning",0,"deck1",NA,NA,NA,NA,4,"magnitude",2,69,1234.99999986961,"YES","YES","NO","NO","NO",7,7,5,6,6,6,3,3,1,3,2,3,2,3,2,3,3,1,2,1,1,3,1,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,492745,NA
"99845","xhlWAPGu3aXE","33","FEMALE","learning",0,"deck1",NA,NA,NA,NA,5,"magnitude",4,69,1287.00000001118,"YES","YES","NO","NO","NO",7,7,5,6,6,6,3,3,1,3,2,3,2,3,2,3,3,1,2,1,1,3,1,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,494624,NA
"99846","xhlWAPGu3aXE","33","FEMALE","learning",0,"deck1",NA,NA,NA,NA,6,"magnitude",1,69,939.000000013039,"YES","YES","NO","NO","NO",7,7,5,6,6,6,3,3,1,3,2,3,2,3,2,3,3,1,2,1,1,3,1,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,496068,NA
"99847","xhlWAPGu3aXE","33","FEMALE","learning",0,"deck1",NA,NA,NA,NA,7,"parity",6,73,949.000000022352,"YES","YES","NO","NO","NO",7,7,5,6,6,6,3,3,1,3,2,3,2,3,2,3,3,1,2,1,1,3,1,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,497627,NA
"99848","xhlWAPGu3aXE","33","FEMALE","learning",0,"deck1",NA,NA,NA,NA,8,"parity",8,73,1270.99999994971,"YES","YES","NO","NO","NO",7,7,5,6,6,6,3,3,1,3,2,3,2,3,2,3,3,1,2,1,1,3,1,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,499603,NA
"99849","xhlWAPGu3aXE","33","FEMALE","learning",0,"deck1",NA,NA,NA,NA,9,"parity",8,69,976.000000024214,"YES","YES","NO","NO","NO",7,7,5,6,6,6,3,3,1,3,2,3,2,3,2,3,3,1,2,1,1,3,1,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,501154,NA
"99850","xhlWAPGu3aXE","33","FEMALE","learning",0,"deck1",NA,NA,NA,NA,10,"magnitude",3,69,1370.99999981001,"YES","YES","NO","NO","NO",7,7,5,6,6,6,3,3,1,3,2,3,2,3,2,3,3,1,2,1,1,3,1,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,503030,NA
